ts,high,low,open,close,change,transaction,next_open
1441843200,8.2,7.62,7.79,8.16,0.38,241,8.61
1441929600,8.95,8.26,8.61,8.93,0.77,462,9.52
1442188800,9.6,9.24,9.52,9.6,0.67,517,9.6
1442275200,9.65,8.9,9.6,8.9,-0.7,330,9
1442361600,9.2,9,9,9.01,0.11,198,9.01
1442448000,9.23,9,9.01,9.01,0,146,9.15
1442534400,9.48,9.05,9.15,9.48,0.47,219,9.48
1442793600,9.75,9.12,9.48,9.12,-0.36,446,9.13
1442880000,9.3,9.12,9.13,9.12,0,109,9.25
1442966400,9.25,8.9,9.25,9,-0.12,96,9
1443052800,9.18,8.75,9,8.9,-0.1,130,8.9
1443139200,9.25,8.87,8.9,9.24,0.34,86,9.24
1443571200,9.24,9.04,9.24,9.15,-0.09,78,9.42
1443657600,9.42,9.11,9.42,9.11,-0.04,87,9.12
1443744000,9.27,9.11,9.12,9.11,0,62,9.13
1444003200,9.4,9.01,9.13,9.4,0.29,153,9.5
1444089600,10.3,9.39,9.5,9.67,0.27,1325,9.67
1444176000,9.85,9.53,9.67,9.62,-0.05,268,9.58
1444262400,9.66,9.45,9.58,9.61,-0.01,216,9.62
1444608000,9.62,9.5,9.62,9.55,-0.06,161,9.6
1444694400,9.79,9.47,9.6,9.5,-0.05,115,9.5
1444780800,9.58,9.44,9.5,9.51,0.01,114,9.6
1444867200,9.6,9.41,9.6,9.51,0,82,9.5
1444953600,9.57,9.46,9.5,9.48,-0.03,75,9.43
1445212800,9.95,9.36,9.43,9.8,0.32,306,9.9
1445299200,9.9,9.64,9.9,9.75,-0.05,148,9.65
1445385600,9.71,9.53,9.65,9.68,-0.07,101,9.66
1445472000,10.6,9.65,9.66,10.6,0.92,622,11
1445558400,11,10.4,11,10.4,-0.2,668,10.4
1445817600,10.4,9.81,10.4,9.99,-0.41,434,9.99
1445904000,10.05,9.86,9.99,9.93,-0.06,131,10.1
1445990400,10.1,9.86,10.1,9.86,-0.07,121,9.88
1446076800,9.96,9.38,9.88,9.5,-0.36,125,9.5
1446163200,9.52,9.2,9.5,9.43,-0.07,115,9.43
1446422400,9.89,9.43,9.43,9.7,0.27,104,9.8
1446508800,9.9,9.72,9.8,9.73,0.03,75,9.89
1446595200,9.89,9.78,9.89,9.88,0.15,75,9.89
1446681600,10.35,9.88,9.89,10.1,0.22,214,10.1
1446768000,10.2,9.93,10.1,9.99,-0.11,92,10.3
1447027200,10.3,9.73,10.3,9.82,-0.17,118,9.75
1447113600,9.98,9.75,9.75,9.87,0.05,74,10.4
1447200000,10.85,10.05,10.4,10.05,0.18,654,10.3
1447286400,10.35,9.9,10.3,9.97,-0.08,198,9.9
1447372800,9.9,9.7,9.9,9.71,-0.26,165,9.1
1447632000,9.5,9.1,9.1,9.32,-0.39,232,9.42
1447718400,9.82,9.42,9.42,9.62,0.3,150,9.8
1447804800,9.8,9.49,9.8,9.52,-0.1,111,9.78
1447891200,9.78,9.55,9.78,9.6,0.08,56,9.6
1447977600,9.7,9.53,9.6,9.65,0.05,74,9.74
1448236800,9.74,9.5,9.74,9.52,-0.13,77,9.6
1448323200,9.6,9.35,9.6,9.37,-0.15,63,9.3
1448409600,9.35,9.12,9.3,9.12,-0.25,92,9.12
